output_prefix	name	motif_id	cluster	total_tfbs	abnormal_mean_score	abnormal_bound	normal_mean_score	normal_bound	abnormal_normal_change	abnormal_normal_pvalue
ELF4_MA0641.1	ELF4	MA0641.1	C_ELF2	9359	1.0941	4562	1.15729	4733	0.03822	2.49423E-55
EN1_MA0027.2	EN1	MA0027.2	C_EMX1	4118	0.57844	695	0.61178	684	-0.00581	5.47248E-03
Esrrg_MA0643.1	Esrrg	MA0643.1	C_Esrrg	8204	0.6959	1980	0.74639	2013	-0.02722	2.13968E-45
ETV6_MA0645.1	ETV6	MA0645.1	C_EHF	10830	1.08489	5201	1.14221	5420	0.03201	1.24718E-53
FLI1_MA0475.2	FLI1	MA0475.2	C_ETS1	6425	1.16559	3463	1.22532	3589	0.05073	6.87795E-66
FOXI1_MA0042.2	FOXI1	MA0042.2	C_Foxj3	10770	0.70066	2657	0.73972	2715	0.01292	1.37753E-26
FOXL1_MA0033.2	FOXL1	MA0033.2	C_Foxj3	12568	0.6806	2925	0.7181	2962	0.00954	8.24867E-20
GCM1_MA0646.1	GCM1	MA0646.1	C_GCM2	3895	0.82905	1253	0.88287	1325	0.0029	6.70708E-01
GRHL1_MA0647.1	GRHL1	MA0647.1	C_GRHL2	4978	0.65894	1130	0.70664	1142	-0.01669	7.32131E-25
GSC_MA0648.1	GSC	MA0648.1	C_OTX2	4876	0.67207	1032	0.71121	1045	-0.01811	1.07276E-23
HEY2_MA0649.1	HEY2	MA0649.1	C_HEY2	3784	0.9687	1529	1.02267	1552	0.0217	4.84575E-25
HINFP_MA0131.2	HINFP	MA0131.2	C_HINFP	5509	1.05092	2577	1.12256	2731	0.02742	8.01583E-38
HNF1A_MA0046.2	HNF1A	MA0046.2	C_HNF1A	13845	0.56496	2112	0.58711	2039	0.0014	2.96684E-01
HNF1B_MA0153.2	HNF1B	MA0153.2	C_HNF1A	10816	0.57068	1850	0.60729	1824	-0.00488	5.68629E-06
HSF1_MA0486.2	HSF1	MA0486.2	C_HSF2	7560	0.638	1470	0.6769	1482	0.00178	5.83618E-02
IRF8_MA0652.1	IRF8	MA0652.1	C_Irf1	8552	0.69083	1981	0.75699	2155	-0.04128	3.15894E-62
IRF9_MA0653.1	IRF9	MA0653.1	C_Irf1	11425	0.62221	2195	0.67331	2315	-0.02732	8.88802E-48
ISX_MA0654.1	ISX	MA0654.1	C_EMX1	6997	0.51868	962	0.54878	931	-0.01238	6.30654E-16
JDP2_MA0655.1	JDP2	MA0655.1	C_FOSL1	9265	0.96326	3826	0.97913	3776	0.08622	4.48876E-103
JDP2_MA0656.1	JDP2	MA0656.1	C_FOSL2::JUNB	3840	1.03404	1655	1.09691	1748	0.01648	6.74523E-19
KLF13_MA0657.1	KLF13	MA0657.1	C_KLF13	8300	1.0827	3868	1.13683	4008	0.04966	4.44738E-71
LHX6_MA0658.1	LHX6	MA0658.1	C_EMX1	4675	0.53378	682	0.56717	669	-0.0254	6.83380E-30
MEF2B_MA0660.1	MEF2B	MA0660.1	C_MEF2A	13051	0.48084	1451	0.5015	1292	0.01001	7.23823E-20
MEOX1_MA0661.1	MEOX1	MA0661.1	C_EMX1	5658	0.56529	934	0.5974	925	-0.01615	2.39946E-20
MIXL1_MA0662.1	MIXL1	MA0662.1	C_EMX1	6261	0.51364	850	0.54245	831	-0.0136	9.24408E-16
MLX_MA0663.1	MLX	MA0663.1	C_ARNT2	2841	1.0507	1295	1.11506	1324	0.02242	1.53278E-26
MLXIPL_MA0664.1	MLXIPL	MA0664.1	C_ARNT2	2625	1.05504	1202	1.1163	1236	0.02648	6.20169E-22
MSC_MA0665.1	MSC	MA0665.1	C_MSC	9845	0.75184	2767	0.80133	2768	-0.01939	9.20056E-44
MYF6_MA0667.1	MYF6	MA0667.1	C_MYF6	6503	0.70376	1610	0.73982	1565	0.0068	4.62275E-07
NEUROG2_MA0669.1	NEUROG2	MA0669.1	C_NEUROG2	4668	0.60186	831	0.65334	841	-0.04653	8.24990E-51
NFIA_MA0670.1	NFIA	MA0670.1	C_NFIA	8431	0.65794	1854	0.70684	1834	-0.02016	6.14648E-35
NFIX_MA0671.1	NFIX	MA0671.1	C_NFIA	7795	0.68337	1796	0.7368	1844	-0.02314	4.83805E-38
NHLH1_MA0048.2	NHLH1	MA0048.2	C_Ascl2	11346	0.90035	4188	0.96014	4399	-0.01167	1.07208E-25
NKX2-3_MA0672.1	NKX2-3	MA0672.1	C_Nkx2-1	7499	0.66754	1656	0.70606	1620	-0.01455	7.36272E-21
NKX2-8_MA0673.1	NKX2-8	MA0673.1	C_Nkx2-1	7168	0.69055	1613	0.73535	1564	-0.01675	3.30779E-26
NKX6-1_MA0674.1	NKX6-1	MA0674.1	C_NKX6-2	9723	0.55804	1499	0.58417	1465	0.00273	8.31229E-04
NKX6-2_MA0675.1	NKX6-2	MA0675.1	C_NKX6-2	8310	0.52808	1190	0.55135	1159	0.00698	1.28768E-07
Nr2e1_MA0676.1	Nr2e1	MA0676.1	C_Nr2e1	11785	0.5952	2100	0.63033	2049	-0.00325	1.25904E-03
Nr2f6_MA0677.1	Nr2f6	MA0677.1	C_PPARD	11216	0.77268	3205	0.82407	3252	-0.00623	8.45769E-13
OLIG2_MA0678.1	OLIG2	MA0678.1	C_Atoh1	3032	0.54945	449	0.59365	438	-0.05107	2.97831E-47
PAX4_MA0068.2	PAX4	MA0068.2	C_EMX1	4090	0.51677	538	0.54186	511	-0.02138	8.64269E-25
POU4F2_MA0683.1	POU4F2	MA0683.1	C_POU4F3	16195	0.54614	2073	0.56719	1897	-0.00313	4.06733E-03
Rxra_MA0512.2	Rxra	MA0512.2	C_PPARD	10773	0.76526	3022	0.81804	3131	-0.0024	2.58178E-02
SPDEF_MA0686.1	SPDEF	MA0686.1	C_SPDEF	4596	1.06092	2138	1.11755	2245	0.0414	4.13997E-50
SPIC_MA0687.1	SPIC	MA0687.1	C_SPIC	17681	0.6398	3695	0.6759	3687	-0.0003	5.35345E-01
SRF_MA0083.3	SRF	MA0083.3	C_SRF	3754	0.68382	880	0.71296	850	0.00587	1.59542E-04
TBXT_MA0009.2	TBXT	MA0009.2	C_TBX19	3427	0.66542	762	0.71571	783	-0.04108	7.50772E-41
TBX2_MA0688.1	TBX2	MA0688.1	C_TBX3	8203	0.66942	1831	0.71096	1787	-0.02134	1.32152E-38
TBX20_MA0689.1	TBX20	MA0689.1	C_TBX3	9083	0.66769	2011	0.71022	1978	-0.02547	2.65586E-43
TFAP4_MA0691.1	TFAP4	MA0691.1	C_TFAP4	7588	0.77842	2227	0.83335	2285	-0.03817	8.49469E-56
TFEB_MA0692.1	TFEB	MA0692.1	C_ARNT2	4741	0.97134	1919	1.02383	1948	0.01951	2.86996E-24
ZBTB7B_MA0694.1	ZBTB7B	MA0694.1	C_ZBTB7B	4933	0.84009	1315	0.85118	1319	0.05362	3.03363E-59
ZBTB7C_MA0695.1	ZBTB7C	MA0695.1	C_ZBTB7B	5462	0.87412	1612	0.8884	1614	0.05085	1.49420E-56
ZIC1_MA0696.1	ZIC1	MA0696.1	C_ZIC5	9799	0.94598	3833	1.0174	3999	-3e-05	3.37442E-02
ZBTB18_MA0698.1	ZBTB18	MA0698.1	C_ZBTB18	12714	0.67799	2886	0.72401	2928	-0.02331	8.78241E-48
LBX2_MA0699.1	LBX2	MA0699.1	C_EMX1	5129	0.54325	784	0.57444	743	-0.02351	1.06828E-31
Lhx4_MA0704.1	Lhx4	MA0704.1	C_EMX1	5098	0.49352	632	0.51912	613	-0.01084	5.12627E-12
Lhx8_MA0705.1	Lhx8	MA0705.1	C_EMX1	3457	0.5815	593	0.61422	569	-0.03043	1.55416E-31
MEOX2_MA0706.1	MEOX2	MA0706.1	C_EMX1	7845	0.52248	1104	0.55265	1075	-0.01908	1.45900E-31
Msx3_MA0709.1	Msx3	MA0709.1	C_Dlx3	5860	0.56202	931	0.58661	899	0.01504	1.61491E-22
NOTO_MA0710.1	NOTO	MA0710.1	C_EMX1	6251	0.55025	979	0.58147	934	-0.01784	4.79314E-31
Nkx3-1_MA0124.2	Nkx3-1	MA0124.2	C_Nkx3-2	6567	0.6388	1346	0.67449	1273	-0.00826	3.53017E-06
OTX1_MA0711.1	OTX1	MA0711.1	C_OTX2	3321	0.68207	733	0.72747	747	-0.01473	2.65217E-12
PDX1_MA0132.2	PDX1	MA0132.2	C_EMX1	5786	0.50522	746	0.53261	721	-0.0158	1.65205E-25
PHOX2A_MA0713.1	PHOX2A	MA0713.1	C_PHOX2B	10823	0.51365	1314	0.53515	1175	0.01781	2.33124E-30
PITX3_MA0714.1	PITX3	MA0714.1	C_OTX2	6161	0.64056	1203	0.67896	1207	-0.02161	1.35876E-30
PROP1_MA0715.1	PROP1	MA0715.1	C_PHOX2B	13169	0.45634	1309	0.47231	1173	0.0222	9.21930E-43
PRRX1_MA0716.1	PRRX1	MA0716.1	C_EMX1	5804	0.52398	820	0.55183	791	-0.00396	1.38133E-07
RAX2_MA0717.1	RAX2	MA0717.1	C_EMX1	4723	0.53945	708	0.57067	675	-0.01491	5.16199E-16
RAX_MA0718.1	RAX	MA0718.1	C_EMX1	6209	0.53223	904	0.56017	876	-0.00862	1.01101E-12
RHOXF1_MA0719.1	RHOXF1	MA0719.1	C_RHOXF1	5412	0.61823	969	0.66315	988	-0.0458	1.62253E-57
Shox2_MA0720.1	Shox2	MA0720.1	C_EMX1	5050	0.53572	748	0.56455	717	-0.00671	3.38233E-04
UNCX_MA0721.1	UNCX	MA0721.1	C_EMX1	5027	0.51178	671	0.53974	651	-0.01236	9.20415E-19
VAX1_MA0722.1	VAX1	MA0722.1	C_EMX1	6368	0.52332	888	0.55333	861	-0.01937	2.41521E-25
VENTX_MA0724.1	VENTX	MA0724.1	C_VENTX	4536	0.69461	860	0.71307	881	-0.03271	9.04141E-41
VSX1_MA0725.1	VSX1	MA0725.1	C_EMX1	6157	0.50303	775	0.527	737	-0.00981	1.47157E-08
VSX2_MA0726.1	VSX2	MA0726.1	C_EMX1	6124	0.52013	832	0.54986	799	-0.01864	2.74584E-20
ESR1_MA0112.3	ESR1	MA0112.3	C_ESR1	6537	0.76388	1820	0.82183	1853	-0.02603	6.97853E-46
ESRRB_MA0141.3	ESRRB	MA0141.3	C_Esrrg	8753	0.67381	1956	0.72342	2001	-0.0299	3.78321E-47
NR2F1_MA0017.2	NR2F1	MA0017.2	C_Nr1H2	12173	0.70915	3002	0.75484	3071	-0.01384	7.86974E-26
NR3C1_MA0113.3	NR3C1	MA0113.3	C_NR3C1	3834	0.73301	979	0.7917	1015	-0.02887	2.28214E-37
NR3C2_MA0727.1	NR3C2	MA0727.1	C_NR3C1	4050	0.72596	1030	0.78651	1063	-0.0354	3.24895E-43
Nr2F6_MA0728.1	Nr2F6	MA0728.1	C_Rarb	11667	0.66273	2486	0.70616	2507	-0.01236	4.53269E-24
RARA_MA0729.1	RARA	MA0729.1	C_RARA	10297	0.64297	2109	0.68329	2093	-0.01595	1.20333E-32
RARA_MA0730.1	RARA	MA0730.1	C_Rarb	8826	0.7736	2512	0.82706	2554	-0.02176	1.70683E-41
BCL6B_MA0731.1	BCL6B	MA0731.1	C_BCL6B	9413	0.66525	2026	0.70592	2013	0.00019	6.08630E-01
EGR2_MA0472.2	EGR2	MA0472.2	C_EGR1	8297	1.07536	3966	1.12859	4166	0.05895	7.94988E-77
EGR3_MA0732.1	EGR3	MA0732.1	C_EGR1	11331	1.09238	5564	1.14125	5760	0.07118	1.01659E-95
EGR4_MA0733.1	EGR4	MA0733.1	C_EGR1	9417	0.99198	4030	1.03967	4129	0.05104	8.36136E-76
GLIS1_MA0735.1	GLIS1	MA0735.1	C_GLIS1	4232	0.85072	1355	0.90569	1418	0.01482	6.99863E-18
GLIS2_MA0736.1	GLIS2	MA0736.1	C_GLIS2	5938	0.86778	2002	0.91532	2063	0.02056	9.98452E-32
GLIS3_MA0737.1	GLIS3	MA0737.1	C_GLIS3	5126	0.79156	1462	0.82949	1472	0.01823	3.35828E-23
HIC2_MA0738.1	HIC2	MA0738.1	C_HIC2	9456	0.77582	2706	0.83553	2797	-0.0231	1.13997E-42
Hic1_MA0739.1	Hic1	MA0739.1	C_Hic1	8287	0.75877	2278	0.81844	2358	-0.03619	7.83465E-58
KLF16_MA0741.1	KLF16	MA0741.1	C_SP3	28636	1.10049	14128	1.14883	14590	0.06997	1.25820E-110
SP8_MA0747.1	SP8	MA0747.1	C_SP3	22455	1.08323	10722	1.12819	11107	0.06801	8.63631E-105
ZBED1_MA0749.1	ZBED1	MA0749.1	C_ZBED1	912	0.86098	317	0.90464	320	0.0433	2.52667E-22
ZIC4_MA0751.1	ZIC4	MA0751.1	C_ZIC5	8938	0.94959	3497	1.01952	3631	0.00957	5.64043E-14
ZNF143_MA0088.2	ZNF143	MA0088.2	C_ZNF76	8561	0.85175	2696	0.91061	2746	-0.02273	1.79863E-41
ZNF410_MA0752.1	ZNF410	MA0752.1	C_ZNF410	6540	0.73743	1255	0.76866	1240	-0.00301	1.02778E-04
CUX2_MA0755.1	CUX2	MA0755.1	C_ONECUT1	3120	0.54316	434	0.5658	405	0.01466	6.88875E-18
ONECUT3_MA0757.1	ONECUT3	MA0757.1	C_ONECUT1	14681	0.47307	1567	0.49393	1415	0.01657	7.47335E-39
E2F7_MA0758.1	E2F7	MA0758.1	C_E2F7	6100	0.66831	1332	0.6986	1330	0.0274	4.04432E-43
ERF_MA0760.1	ERF	MA0760.1	C_ETS1	6941	1.11684	3520	1.16342	3632	0.0579	4.56945E-69
ETS1_MA0098.3	ETS1	MA0098.3	C_ETS1	7522	1.1139	3811	1.16656	3934	0.04799	1.93030E-66
ETV2_MA0762.1	ETV2	MA0762.1	C_ETV2	8929	0.87953	3225	0.92541	3298	0.03502	1.23953E-58
ETV3_MA0763.1	ETV3	MA0763.1	C_ETS1	5750	1.14599	2985	1.20533	3118	0.04642	2.41977E-60
GCM2_MA0767.1	GCM2	MA0767.1	C_GCM2	3183	0.82472	1033	0.87893	1053	0.00181	1.21638E-01
HSF2_MA0770.1	HSF2	MA0770.1	C_HSF2	8543	0.6117	1562	0.64931	1535	-0.00684	1.27238E-06
HSF4_MA0771.1	HSF4	MA0771.1	C_HSF2	7207	0.68066	1558	0.72688	1533	-0.00228	1.95115E-01
IRF7_MA0772.1	IRF7	MA0772.1	C_Irf1	19055	0.54027	2764	0.57472	2741	-0.0024	1.53460E-04
MEF2D_MA0773.1	MEF2D	MA0773.1	C_MEF2A	15813	0.4675	1662	0.48662	1463	0.01052	1.12700E-22
MEIS1_MA0498.2	MEIS1	MA0498.2	C_MEIS2	3805	0.70182	896	0.74509	900	-0.01836	1.48738E-17
